step,trend,wave,event,value
0,0.00,0.50,0.0,0.32
1,0.03,0.62,0.0,0.35
2,0.06,0.74,0.0,0.39
3,0.09,0.84,0.0,0.42
4,0.12,0.92,1.0,0.56
5,0.15,0.98,0.0,0.46
6,0.18,1.00,0.0,0.48
7,0.21,0.98,0.0,0.49
8,0.24,0.92,0.0,0.49
9,0.27,0.84,0.0,0.49
10,0.30,0.74,1.0,0.61
11,0.33,0.62,0.0,0.48
12,0.36,0.50,0.0,0.49
13,0.39,0.38,0.0,0.49
14,0.42,0.26,0.0,0.49
15,0.45,0.16,0.0,0.50
16,0.48,0.08,1.0,0.63
17,0.51,0.02,0.0,0.51
18,0.54,0.00,0.0,0.52
19,0.57,0.02,0.0,0.54
20,0.60,0.08,0.0,0.56
21,0.63,0.16,0.0,0.59
22,0.66,0.26,1.0,0.74
23,0.69,0.38,0.0,0.65
24,0.72,0.50,0.0,0.69
25,0.75,0.62,0.0,0.73
26,0.78,0.74,0.0,0.78
27,0.81,0.84,0.0,0.82
28,0.84,0.92,1.0,0.96
29,0.87,0.98,0.0,0.89
30,0.90,1.00,0.0,0.91
31,0.93,0.98,0.0,0.92
32,0.96,0.92,0.0,0.92
33,0.99,0.84,0.0,0.91
34,1.02,0.74,1.0,1.02
35,1.05,0.62,0.0,0.90
36,1.08,0.50,0.0,0.90
37,1.11,0.38,0.0,0.90
38,1.14,0.26,0.0,0.90
39,1.17,0.16,0.0,0.91
40,1.20,0.08,1.0,1.03
41,1.23,0.02,0.0,0.92
42,1.26,0.00,0.0,0.94
43,1.29,0.02,0.0,0.96
44,1.32,0.08,0.0,0.99
45,1.35,0.16,0.0,1.02
46,1.38,0.26,1.0,1.17
47,1.41,0.38,0.0,1.08
